name,room_numbers,address,price,usable_area,gross_floor_area,url,latitude,longitude,price_per_sq_foot_SA,price_per_sq_foot_GFA
KING LAM ESTATE・KING LUI HOUSE (BLOCK 2),Low Floor・FLAT 21・1 Room,Po Lam,1400000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/KING-LAM-ESTATE-KING-LUI-HOUSE-(BLOCK-2)_UDU107?theme=buy,22.3237131,114.2548803,4011.4613180515757,
TAK TIN ESTATE・TAK YEE HOUSE (BLOCK 3),(1 Suite),Lam Tin,1800000.0,443.0,,https://hk.centanet.com/findproperty/en/detail/TAK-TIN-ESTATE-TAK-YEE-HOUSE-(BLOCK-3)_SQY314?theme=buy,22.3080199,114.2375638,4063.2054176072234,
FU SHIN ESTATE・SHIN KWAN HOUSE (BLOCK 1),1 Room,Tai Po Town Centre,1200000.0,294.0,,https://hk.centanet.com/findproperty/en/detail/FU-SHIN-ESTATE-SHIN-KWAN-HOUSE-(BLOCK-1)_ATG968?theme=buy,22.4423218,114.1655064,4081.6326530612246,
Long Ping Estate・HOR PING HOUSE,Low Floor・FLAT 35・2 Rooms,Long Ping,1480000.0,355.0,,https://hk.centanet.com/findproperty/en/detail/Long-Ping-Estate-HOR-PING-HOUSE_CVM292?theme=buy,,,4169.014084507042,
TAI WO ESTATE・OI WO HOUSE (BLOCK 2),Studio,Tai Po Town Centre,1480000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/TAI-WO-ESTATE-OI-WO-HOUSE-(BLOCK-2)_ATU652?theme=buy,22.4423218,114.1655064,4240.687679083095,
Po Lam Estate・Po Kan House (Block 6),High Floor・FLAT 7・1 Room,Po Lam,1600000.0,366.0,,https://hk.centanet.com/findproperty/en/detail/Po-Lam-Estate-Po-Kan-House-(Block-6)_UDS179?theme=buy,22.3237131,114.2548803,4371.584699453552,
WAH MING ESTATE・CHUNG MING HOUSE (BLOCK 5),Low Floor・FLAT 8・2 Rooms,Fanling,1700000.0,385.0,,https://hk.centanet.com/findproperty/en/detail/WAH-MING-ESTATE-CHUNG-MING-HOUSE-(BLOCK-5)_EPI738?theme=buy,22.4916829,114.1414685,4415.584415584415,
TSUI LAM ESTATE・YAN LAM HOUSE (BLOCK 4),2 Rooms,Po Lam,1700000.0,381.0,,https://hk.centanet.com/findproperty/en/detail/TSUI-LAM-ESTATE-YAN-LAM-HOUSE-(BLOCK-4)_UEC701?theme=buy,22.3237131,114.2548803,4461.942257217847,
Chuk Yuen North Estate・Wai Yuen House (Block 10),Low Floor・FLAT 4B・1 Room,Wong Tai Sin,1180000.0,263.0,,https://hk.centanet.com/findproperty/en/detail/Chuk-Yuen-North-Estate-Wai-Yuen-House-(Block-10)_SKF263?theme=buy,22.3548115,114.1974398,4486.692015209125,
Po Lam Estate・Po Kan House (Block 6),Low Floor・FLAT 44・Studio,Po Lam,1600000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/Po-Lam-Estate-Po-Kan-House-(Block-6)_UDS830?theme=buy,22.3237131,114.2548803,4584.5272206303725,
