name,room_numbers,address,price,usable_area,gross_floor_area,url,latitude,longitude
NOVO LAND・PHASE 2A・CHARLOT TOWER 1B,1 Room・(1 Suite),Siu Hong,3.4M,293ft²,,https://hk.centanet.com/findproperty/en/detail/NOVO-LAND-PHASE-2A-CHARLOT-TOWER-1B_CZK890?theme=buy,22.4117535,113.9789961
BELVEDERE GARDEN・Phase 3・BLOCK 3,High Floor・FLAT A・3 Rooms・(1 Suite),Belvedere,7.2M,728ft²,846ft²,https://hk.centanet.com/findproperty/en/detail/BELVEDERE-GARDEN-Phase-3-BLOCK-3_CAL150?theme=buy,,
PARK ISLAND・PHASE 1・BLOCK 9,2 Rooms,Ma Wan,5.38M,537ft²,706ft²,https://hk.centanet.com/findproperty/en/detail/PARK-ISLAND-PHASE-1-BLOCK-9_FEB542?theme=buy,22.3500753,114.059207
LUK YEUNG SUN CHUEN・BLOCK P,FLAT 6・2 Rooms,Luk Yeung,5.6M,445ft²,511ft²,https://hk.centanet.com/findproperty/en/detail/LUK-YEUNG-SUN-CHUEN-BLOCK-P_CLI644?theme=buy,,
Tsuen Wan Centre・Block 15 (Kunming House),Low Floor・FLAT H・2 Rooms,Tsuen King Circuit,3.38M,374ft²,490ft²,https://hk.centanet.com/findproperty/en/detail/Tsuen-Wan-Centre-Block-15-(Kunming-House)_CMN056?theme=buy,22.3765822,114.1072333
VISALIA GARDEN,FLAT B・4 Rooms,Mid-Levels Central,55.5M,"1,848ft²","2,195ft²",https://hk.centanet.com/findproperty/en/detail/VISALIA-GARDEN_TGA972?theme=buy,22.2838464,114.1549689
TIERRA VERDE・Phase 1・TOWER 6,Low Floor・FLAT A・4 Rooms・(1 Suite),Tsing Yi,12.5M,752ft²,945ft²,https://hk.centanet.com/findproperty/en/detail/TIERRA-VERDE-Phase-1-TOWER-6_FCJ956?theme=buy,22.3474872,114.1023164
Residence 譽88・Tower 1,2 Rooms,Yuen Long Southeast,5.44M,510ft²,666ft²,https://hk.centanet.com/findproperty/en/detail/Residence-%E8%AD%BD88-Tower-1_CVD956?theme=buy,22.4445376,114.0222076
Park Central・Phase 2・Tower 2,Low Floor・FLAT G・3 Rooms,Tseung Kwan O,8.5M,684ft²,908ft²,https://hk.centanet.com/findproperty/en/detail/Park-Central-Phase-2-Tower-2_SAD949?theme=buy,22.3089111,114.2635572
Villa Athena・BLOCK 6,Low Floor・FLAT D・2 Rooms・(1 Suite),Ma On Shan,8.1M,727ft²,901ft²,https://hk.centanet.com/findproperty/en/detail/Villa-Athena-BLOCK-6_EEQ450?theme=buy,22.4276756,114.2402751
Ocean Pride・Phase 3A Ocean Supreme・Tower 5C,Low Floor・FLAT C・2 Rooms,Tsuen Wan West,8.8M,531ft²,,https://hk.centanet.com/findproperty/en/detail/Ocean-Pride-Phase-3A-Ocean-Supreme-Tower-5C_CYO890?theme=buy,22.3684317,114.109705
YOHO TOWN・Phase 2 Yoho Midtown・BLOCK M6,Middle Floor・FLAT A・2 Rooms,Yuen Long Station,6.9M,478ft²,618ft²,https://hk.centanet.com/findproperty/en/detail/YOHO-TOWN-Phase-2-Yoho-Midtown-BLOCK-M6_CQS397?theme=buy,22.4460876,114.0347702
CENTURY GATEWAY・PHASE 2・TOWER 8,Middle Floor・2 Rooms,Tuen Mun Town Centre,7.18M,477ft²,,https://hk.centanet.com/findproperty/en/detail/CENTURY-GATEWAY-PHASE-2-TOWER-8_CWJ043?theme=buy,22.3908295,113.9725126
Whampoa Garden・Phase 2 Cherry Mansions・Block 11,Low Floor・FLAT A・2 Rooms,Whampoa,5.6M,389ft²,469ft²,https://hk.centanet.com/findproperty/en/detail/Whampoa-Garden-Phase-2-Cherry-Mansions-Block-11_SGA165?theme=buy,1.3245132,103.8572252
HONG LOK YUEN TENTH STREET,3 Rooms,Hong Lok Yuen,17M,"1,214ft²","1,850ft²",https://hk.centanet.com/findproperty/en/detail/HONG-LOK-YUEN-TENTH-STREET_AAD516?theme=buy,22.4636115,114.1546972
MONTE VISTA・BLOCK 11,Middle Floor・FLAT C・3 Rooms・(1 Suite),Wu Kai Sha,7.6M,765ft²,985ft²,https://hk.centanet.com/findproperty/en/detail/MONTE-VISTA-BLOCK-11_EGB199?theme=buy,,
Festival City・Phase 2・Tower 2,High Floor・FLAT NB・4 Rooms,Tai Wai,14M,958ft²,"1,273ft²",https://hk.centanet.com/findproperty/en/detail/Festival-City-Phase-2-Tower-2_ASF357?theme=buy,22.375941,114.178626
Lake Silver・TOWER 5,Low Floor・FLAT G・3 Rooms・(1 Suite),Wu Kai Sha,9.7M,700ft²,918ft²,https://hk.centanet.com/findproperty/en/detail/Lake-Silver-TOWER-5_EMC215?theme=buy,,
The Riverpark,Low Floor・2 Rooms,Tai Wai,8.38M,507ft²,663ft²,https://hk.centanet.com/findproperty/en/detail/The-Riverpark_ETE900?theme=buy,22.375941,114.178626
MERRY GARDEN,Middle Floor・FLAT 3・3 Rooms・(1 Suite),Mid-Levels Central,17.5M,975ft²,,https://hk.centanet.com/findproperty/en/detail/MERRY-GARDEN_TGI553?theme=buy,22.2838464,114.1549689
Parkland Villas,2 Rooms,Siu Hong,3.28M,376ft²,548ft²,https://hk.centanet.com/findproperty/en/detail/Parkland-Villas_CGX879?theme=buy,22.4117535,113.9789961
Lohas Park・Phase 7B Grand Montara・Tower 1 (1A),Middle Floor・FLAT D・3 Rooms,Lohas Park,11.2M,769ft²,,https://hk.centanet.com/findproperty/en/detail/Lohas-Park-Phase-7B-Grand-Montara-Tower-1-(1A)_UHK480?theme=buy,22.2944817,114.2702546
TAI PO CENTRE,Low Floor・2 Rooms,Tai Po Town Centre,3.5M,299ft²,423ft²,https://hk.centanet.com/findproperty/en/detail/TAI-PO-CENTRE_AMM058?theme=buy,22.4423218,114.1655064
COASTAL SKYLINE・PHASE 1・BLOCK 1,Low Floor・2 Rooms,Tung Chung Town Centre,6.68M,592ft²,775ft²,https://hk.centanet.com/findproperty/en/detail/COASTAL-SKYLINE-PHASE-1-BLOCK-1_FFP249?theme=buy,22.2873743,113.9425086
CENTURY LINK・PHASE 1・TOWER 3B,Middle Floor・FLAT 9・1 Room,Tung Chung Town Centre,4.45M,379ft²,,https://hk.centanet.com/findproperty/en/detail/CENTURY-LINK-PHASE-1-TOWER-3B_FGY941?theme=buy,22.2873743,113.9425086
Butler Towers,High Floor・4 Rooms・(1 Suite),Jardine's,35.8M,"1,492ft²",,https://hk.centanet.com/findproperty/en/detail/Butler-Towers_TAN665?theme=buy,,
SCENIC GARDEN・BLOCK 2,Low Floor・FLAT A・3 Rooms・(1 Suite),Yuen Long Town Centre,5.68M,647ft²,825ft²,https://hk.centanet.com/findproperty/en/detail/SCENIC-GARDEN-BLOCK-2_COZ971?theme=buy,22.4445376,114.0222076
FICUS GARDEN,2 Rooms,Fo Tan,8.5M,643ft²,744ft²,https://hk.centanet.com/findproperty/en/detail/FICUS-GARDEN_AGA085?theme=buy,22.3985709,114.1929428
KAI FAT PATH,1 Room,Tuen Mun Town Centre,4.3M,320ft²,,https://hk.centanet.com/findproperty/en/detail/KAI-FAT-PATH_CZC717?theme=buy,22.3908295,113.9725126
YOHO TOWN・Phase 1・BLOCK 1,Middle Floor・FLAT G・2 Rooms,Yuen Long Station,5.18M,393ft²,525ft²,https://hk.centanet.com/findproperty/en/detail/YOHO-TOWN-Phase-1-BLOCK-1_CQK858?theme=buy,22.4460876,114.0347702
FAIRVIEW PARK,3 Rooms,Palm Springs | Fairview,9M,848ft²,,https://hk.centanet.com/findproperty/en/detail/FAIRVIEW-PARK_EHA284?theme=buy,33.8302961,-116.5452921
CARIBBEAN COAST・PHASE 4 CRYSTAL COVE・TOWER 16,Low Floor・FLAT H・3 Rooms,Tung Chung Town Centre,9.2M,927ft²,"1,228ft²",https://hk.centanet.com/findproperty/en/detail/CARIBBEAN-COAST-PHASE-4-CRYSTAL-COVE-TOWER-16_FGF906?theme=buy,22.2873743,113.9425086
Lung Poon Court・LUNG WU HOUSE (BLOCK B),Middle Floor・FLAT 13・1 Room,Diamond Hill,3.88M,340ft²,462ft²,https://hk.centanet.com/findproperty/en/detail/Lung-Poon-Court-LUNG-WU-HOUSE-(BLOCK-B)_SJL296?theme=buy,,
The Legend,Low Floor・FLAT C・2 Rooms・(1 Suite),Tai Hang Mid-Levels,17M,871ft²,,https://hk.centanet.com/findproperty/en/detail/The-Legend_TBB497?theme=buy,22.2816223,114.147865
The Green,House・3 Rooms・(1 Suite),Fanling,15.5M,"1,315ft²","2,032ft²",https://hk.centanet.com/findproperty/en/detail/The-Green_EPZ130?theme=buy,22.4916829,114.1414685
PARK YOHO・Phase 2B Park Yoho Napoli・TOWER 27B,High Floor・FLAT B・3 Rooms・(1 Suite),Kam Tin,8.38M,718ft²,,https://hk.centanet.com/findproperty/en/detail/PARK-YOHO-Phase-2B-Park-Yoho-Napoli-TOWER-27B_GAB359?theme=buy,22.440058,114.0650077
Hong Wah Court・Chung Hong House (Block C),Low Floor・FLAT 6・2 Rooms,Lam Tin,3.5M,423ft²,,https://hk.centanet.com/findproperty/en/detail/Hong-Wah-Court-Chung-Hong-House-(Block-C)_SNB379?theme=buy,22.3080199,114.2375638
Goodview Garden・TOWER 5,2 Rooms,Tuen Mun South,3.2M,301ft²,435ft²,https://hk.centanet.com/findproperty/en/detail/Goodview-Garden-TOWER-5_CFK172?theme=buy,22.3908295,113.9725126
KINGSWOOD VILLAS・PHASE 1 LOCWOOD COURT・BLOCK 6,High Floor・FLAT C・3 Rooms,Tin Shui Wai,4.85M,551ft²,708ft²,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-PHASE-1-LOCWOOD-COURT-BLOCK-6_CJK578?theme=buy,22.4606419,114.0041996
VIANNI COVE,Low Floor・FLAT G・3 Rooms・(1 Suite),Tin Shui Wai,6M,654ft²,868ft²,https://hk.centanet.com/findproperty/en/detail/VIANNI-COVE_CJW117?theme=buy,22.4606419,114.0041996
Whampoa Garden・Phase 7 Cotton Tree Mansions・Block 5,Middle Floor・FLAT D・4 Rooms,Whampoa,14.8M,962ft²,"1,107ft²",https://hk.centanet.com/findproperty/en/detail/Whampoa-Garden-Phase-7-Cotton-Tree-Mansions-Block-5_SGT617?theme=buy,1.3245132,103.8572252
TAI HING GARDENS・Phase 1・BLOCK 2,Low Floor・2 Rooms,Tuen Mun North,3.7M,394ft²,500ft²,https://hk.centanet.com/findproperty/en/detail/TAI-HING-GARDENS-Phase-1-BLOCK-2_CGE213?theme=buy,22.3908295,113.9725126
WETLAND SEASONS PARK・Phase 1・TOWER 21,High Floor・FLAT A2・3 Rooms,Tin Shui Wai,6.58M,540ft²,,https://hk.centanet.com/findproperty/en/detail/WETLAND-SEASONS-PARK-Phase-1-TOWER-21_CXL956?theme=buy,22.4606419,114.0041996
TIN SHING COURT,Middle Floor・FLAT 5・3 Rooms・(1 Suite),Tin Shui Wai,4.98M,650ft²,,https://hk.centanet.com/findproperty/en/detail/TIN-SHING-COURT_CKL532?theme=buy,22.4606419,114.0041996
KINGSWOOD VILLAS・Phase 6 Maywood Court・BLOCK 4,Middle Floor・FLAT A・3 Rooms・(1 Suite),Tin Shui Wai,5.58M,631ft²,818ft²,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-Phase-6-Maywood-Court-BLOCK-4_CJO492?theme=buy,22.4606419,114.0041996
GRAND YOHO・Phase 2・TOWER 5,High Floor・FLAT A・2 Rooms,Yuen Long Station,7.6M,535ft²,,https://hk.centanet.com/findproperty/en/detail/GRAND-YOHO-Phase-2-TOWER-5_CVX868?theme=buy,22.4460876,114.0347702
THE VISIONARY・TOWER 10,Low Floor・FLAT F・1 Room,Tung Chung Town Centre,5.6M,434ft²,,https://hk.centanet.com/findproperty/en/detail/THE-VISIONARY-TOWER-10_FGU174?theme=buy,22.2873743,113.9425086
The Latitude・Tower 8,High Floor・FLAT E・2 Rooms,San Po Kong,9.5M,525ft²,680ft²,https://hk.centanet.com/findproperty/en/detail/The-Latitude-Tower-8_SFW621?theme=buy,22.3364426,114.1989259
WETLAND SEASONS PARK,Middle Floor・3 Rooms・(1 Suite),Tin Shui Wai,6.98M,636ft²,,https://hk.centanet.com/findproperty/en/detail/WETLAND-SEASONS-PARK_CXM131?theme=buy,22.4606419,114.0041996
WETLAND SEASONS BAY・PHASE 1,High Floor・FLAT A8・2 Rooms,Tin Shui Wai,7.58M,507ft²,,https://hk.centanet.com/findproperty/en/detail/WETLAND-SEASONS-BAY-PHASE-1_CXO159?theme=buy,22.4606419,114.0041996
KINGSWOOD VILLAS・Phase 3 Chestwood Court,High Floor・FLAT G・3 Rooms,Tin Shui Wai,5.4M,548ft²,705ft²,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-Phase-3-Chestwood-Court_CJV360?theme=buy,22.4606419,114.0041996
DUKE GARDEN,High Floor・FLAT D・2 Rooms・(1 Suite),Ho Man Tin,13.8M,"1,061ft²",,https://hk.centanet.com/findproperty/en/detail/DUKE-GARDEN_MGO220?theme=buy,22.318507,114.1755339
Crescendo,4 Rooms,Ngau Tam Mei,18M,"1,638ft²",,https://hk.centanet.com/findproperty/en/detail/Crescendo_EIE427?theme=buy,22.475807,114.060107
Parc Inverness・Tower 5,High Floor・FLAT E・3 Rooms,Kowloon Tong,38M,"1,459ft²",,https://hk.centanet.com/findproperty/en/detail/Parc-Inverness-Tower-5_MMY000?theme=buy,22.3369319,114.1763367
JADE PLAZA・BLOCK B,FLAT 1・1 Room,Tai Po Town Centre,3.1M,262ft²,362ft²,https://hk.centanet.com/findproperty/en/detail/JADE-PLAZA-BLOCK-B_AMU482?theme=buy,22.4423218,114.1655064
WETLAND SEASONS BAY,Middle Floor・1 Room,Tin Shui Wai,6M,357ft²,,https://hk.centanet.com/findproperty/en/detail/WETLAND-SEASONS-BAY_CXO762?theme=buy,22.4606419,114.0041996
No. 133 Portofino,2 Rooms,Sai Kung Town Centre,15.5M,704ft²,,https://hk.centanet.com/findproperty/en/detail/No--133-Portofino_MTI424?theme=buy,22.383689,114.2707867
