name,room_numbers,address,price,usable_area,gross_floor_area,url
NOVO LAND・PHASE 2A・CHARLOT TOWER 1B,1 Room・(1 Suite),Siu Hong,"13,500",293ft²,N/A,https://hk.centanet.com/findproperty/en/detail/NOVO-LAND-PHASE-2A-CHARLOT-TOWER-1B_CZK890?theme=rent
YOHO TOWN・Phase 1・BLOCK 1,Middle Floor・FLAT G・2 Rooms,Yuen Long Station,"12,800",393ft²,525ft²,https://hk.centanet.com/findproperty/en/detail/YOHO-TOWN-Phase-1-BLOCK-1_CQK858?theme=rent
PARK YOHO・Phase 2B Park Yoho Napoli・TOWER 27B,High Floor・FLAT B・3 Rooms・(1 Suite),Kam Tin,"21,800",718ft²,N/A,https://hk.centanet.com/findproperty/en/detail/PARK-YOHO-Phase-2B-Park-Yoho-Napoli-TOWER-27B_GAB359?theme=rent
WETLAND SEASONS BAY,Middle Floor・1 Room,Tin Shui Wai,"13,000",357ft²,N/A,https://hk.centanet.com/findproperty/en/detail/WETLAND-SEASONS-BAY_CXO762?theme=rent
GRAND YOHO・Phase 2・TOWER 5,High Floor・FLAT A・2 Rooms,Yuen Long Station,"18,400",535ft²,N/A,https://hk.centanet.com/findproperty/en/detail/GRAND-YOHO-Phase-2-TOWER-5_CVX868?theme=rent
No. 133 Portofino,2 Rooms,Sai Kung Town Centre,"36,000",704ft²,N/A,https://hk.centanet.com/findproperty/en/detail/No--133-Portofino_MTI424?theme=rent
Victoria Skye・Ocean Waves Tower 1,Low Floor・FLAT E・3 Rooms,Kai Tak New Area,"34,000",661ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Victoria-Skye-Ocean-Waves-Tower-1_UGD266?theme=rent
FLORA GARDEN・BLOCK 2,3 Rooms,Tai Hang Mid-Levels,"49,000","1,011ft²","1,302ft²",https://hk.centanet.com/findproperty/en/detail/FLORA-GARDEN-BLOCK-2_TAL403?theme=rent
THE GRANDVILLE・TOWER C,3 Rooms・(1 Suite),Fo Tan,"31,000",794ft²,"1,008ft²",https://hk.centanet.com/findproperty/en/detail/THE-GRANDVILLE-TOWER-C_ALA214?theme=rent
FORTUNE PLAZA,2 Rooms,Tai Po Town Centre,"12,300",339ft²,451ft²,https://hk.centanet.com/findproperty/en/detail/FORTUNE-PLAZA_AMZ856?theme=rent
